unique_id,category,variation,nice_name,artist,mafia_name,twitter,instagram,filename paste,file,inches,inch_variance,radius_max,serving_min,serving_max,pie_count,layer
5622,topping-vegetable,cactus,Cactus,Amber Tran,,,,5622-topping-vegetable-cactus,Y,4,,,,,,
5623,topping-vegetable,cactus,Cactus,Amber Tran,,,,5623-topping-vegetable-cactus,Y,4,,,,,,
5624,topping-vegetable,cactus,Cactus,Amber Tran,,,,5624-topping-vegetable-cactus,Y,4,,,,,,
5625,topping-vegetable,cactus,Cactus,Amber Tran,,,,5625-topping-vegetable-cactus,Y,4,,,,,,
5630,topping-vegetable,eggplant,Egg Plant,,,,,5630-topping-vegetable-eggplant,N,,,,,,,
5640,topping-vegetable,edamame,,eitoasano,,,,5640-topping-vegetable-edamame,Y,0.5,,,,,,
5641,topping-vegetable,edamame,,eitoasano,,,,5641-topping-vegetable-edamame,Y,0.5,,,,,,
5650,topping-vegetable,tofu,Tofu,Haney Canvas,,,,5650-topping-vegetable-tofu,Y,1,,,,,,
5651,topping-vegetable,tofu,Tofu,Haney Canvas,,,,5651-topping-vegetable-tofu,Y,1,,,,,,
5652,topping-vegetable,tofu,Tofu,Haney Canvas,,,,5652-topping-vegetable-tofu,Y,1,,,,,,
5653,topping-vegetable,tofu,Tofu,Haney Canvas,,,,5653-topping-vegetable-tofu,Y,1,,,,,,
5654,topping-vegetable,tofu,Tofu,Haney Canvas,,,,5654-topping-vegetable-tofu,Y,1,,,,,,
5655,topping-vegetable,tofu,Tofu,Haney Canvas,,,,5655-topping-vegetable-tofu,Y,1,,,,,,
5660,topping-vegetable,spinach,Spinach,Laura Shepherd,3D Pizza,@Ls528art,@Ls528,5660-topping-vegetable-spinach,Y,2,3,4,2,3,,
5661,topping-vegetable,spinach,Spinach,Laura Shepherd,3D Pizza,@Ls528art,@Ls528,5661-topping-vegetable-spinach,Y,2,3,4,2,3,,
5662,topping-vegetable,spinach,Spinach,Laura Shepherd,3D Pizza,@Ls528art,@Ls528,5662-topping-vegetable-spinach,Y,2,3,4,2,3,,
5663,topping-vegetable,spinach,Spinach,Laura Shepherd,3D Pizza,@Ls528art,@Ls528,5663-topping-vegetable-spinach,Y,2.5,3.5,4.5,2,3,,
5664,topping-vegetable,spinach,Spinach,Laura Shepherd,3D Pizza,@Ls528art,@Ls528,5664-topping-vegetable-spinach,Y,2.5,3.5,4.5,2,3,,
5665,topping-vegetable,spinach,Spinach,Laura Shepherd,3D Pizza,@Ls528art,@Ls528,5665-topping-vegetable-spinach,Y,3,4,4.5,2,3,,
5670,topping-vegetable,pickles,Pickles,maceo Culture,,,,5670-topping-vegetable-pickles,Y,1.5,,,,,,
5671,topping-vegetable,pickles,Pickles,maceo Culture,,,,5671-topping-vegetable-pickles,Y,1.5,,,,,,
5672,topping-vegetable,pickles,Pickles,maceo Culture,,,,5672-topping-vegetable-pickles,Y,5,,,,,,
5673,topping-vegetable,pickles,Pickles,maceo Culture,,,,5673-topping-vegetable-pickles,Y,5,,,,,,
5680,topping-vegetable,bamboo,Bamboo,Damon Wolfe,,,,5680-topping-vegetable-bamboo,Y,5,,,,,,
5681,topping-vegetable,bamboo,Bamboo,Damon Wolfe,,,,5681-topping-vegetable-bamboo,Y,5,,,,,,
5682,topping-vegetable,bamboo,Bamboo,Damon Wolfe,,,,5682-topping-vegetable-bamboo,Y,5,,,,,,
5683,topping-vegetable,bamboo,Bamboo,Damon Wolfe,,,,5683-topping-vegetable-bamboo,Y,5,,,,,,
5684,topping-vegetable,bamboo,Bamboo,Damon Wolfe,,,,5684-topping-vegetable-bamboo,Y,5,,,,,,
5690,topping-vegetable,rosemary,Rosemary,Ashira Siegel Fox,,,,5690-topping-vegetable-rosemary,Y,4,,,,,,
